,star,comment
0,1,爛!態度又非常差，花一千五什麼都沒吃，還吹一小時的風，老闆就一句:我不管你…
1,1,禮拜一，位子在約中間的胡椒餅，我跟您買胡椒餅就覺得奇怪，為何每個攤販都很多人買，只有您沒人買，還一堆在檯子上，買回飯店吃一打開，靠!全臭火乾的，黑色的胡椒餅...這做生意那麼沒有良心!難怪你們都沒人買，管理處是否會在意您的承租攤商這麼不老實呢!
2,1,工作人員非常不友善，不準人在入口處這個辦公室前說話，非常不適合孩子逗留!
3,1,"廣告也打得太凶了吧!離我住所十萬八千里,卻也能亂下旗標!"
4,1,女服務員的態度很爛，你要是有訂桌的話不會擺訂桌嗎？人家都坐上去才趕別人走？有事？要馬你一開始工讀生就告知有人訂位，要有服務生帶位，而不是叫客人隨便坐，觀感差到爆!是改了一個點連自己店家的聲譽都改了嗎？
5,1,到處是垃圾，園區內許多吸管套及衛生筷套，週邊的體育館附近等也是一堆夜市後留下的垃圾，感覺非常差。
6,1,點個小牛排套餐，牛肉一堆脂肪，不另外剔除就算了，整份牛肉一個酸味，非常無言…
7,1,最茂盛的地方放攤位，根本就是騙人家來的!其他地方都零散開。有的步道還很臭一堆水肥味道。
8,1,爛死了，電話也不接...接總機直接給我說謝謝再見是怎樣啊!有這麼沒水準的嗎？
9,1,超無聊!賣的冰也跟一般糖廠會看到的不同，且一支40元，還特別的貴。
10,1,點餐櫃台弄錯，換餐雞腿排外溫內冰，還有蚊子來襲，很不愉快的用餐經驗…
11,1,非常不推個人家庭來，打電話詢問了，店家沒說清楚，表明直接前往可參加400元Pizza的活動，來到卻說要預定，連吃單點的食物也要(前一天訂），沒得吃沒得玩，不重視客人
12,1,門口的接待人員推薦買點茶到泡茶區泡茶，茶買了但泡茶區的茶具不出借並且禁止飲食！如果是這樣為什麼不早說？感覺非常不好！
13,1,沒什麼東西，因為活動才去結果最外面要管制人數，排得大老遠結果其他入口根本不用排隊，這樣的方式主辦方到底在想甚麼?搞得外面人排得馬路都是，造成交通混亂，裡面攤位也沒有網路說得那麼多，而且也非常不漂亮，真的超級不推!
14,1,服務人員態度很差...更換釣具叫人等一下，結果處理不同服務就態度不佳的對客人，下次最好可以直接更換，請勿等待，否則又會質疑是否偷玩才要更換。感受真差…
15,1,廁所大排長龍等到死，然後周圍都沒有垃圾桶，一堆人亂丟在廁所旁邊，停車位太少，每次來都是大塞車，根本找不到停車位，然後租腳踏車的店非常遠，蔣公子是金湯匙出生，根本沒去過公園吧，估計不屑處理這種小事情
16,1,沒落、髒亂，連娃娃機店也倒了很多家，剩下的機台大多都放垃圾商品，不然就是陷阱台，而且週邊停車場超級貴，完全不值得來!
17,1,真的在起點路口標示一下公告好不==走到一半了被迫原路走回，誰沒事會起點終點兩邊都看過？拜託一下，這是一條上坡路欸!出來後經過蝙蝠洞另一邊的路口（終點出來的地方）才看到有封鎖線，超無語。不管是在起點設個標誌也好、地圖標示一下也好，拜託做點事好嗎？
18,1,裡面展示的機器人不是暫停就是無法體驗，完全感受不到科技感。售票人員態度很差，很像T的那位。
19,1,老闆根本就是詐欺!說還有很多，結果花了300塊只採到了5顆草莓...老闆應該要說只剩下一點點了，價格也超級無敵貴!我覺得很爛!
20,1,帶小孩子才剛進去，我走向櫃檯準備詢問相關價格，小孩子一溜煙就去坐上一台類似投幣機會前後搖動的（騙小孩子的）汽車，馬上被櫃檯的大嬸級服務人員制止，感覺相當差勁!我轉頭就走了…
21,1,我3月23日去時，只剩下一顆櫻花開得稀稀疏疏的，其他地方幾乎沒什麼花。門票要130元/人，實在太不便宜了!真是敗興而歸!
22,1,有點匪夷所思的地方。說是廟宇....一點也不像。髒水廚餘通通往旁邊的池子流去，噁心無比。晚上去，一堆8+9，都覺得自己是來到了什麼鬼地方。沒有廟裡給人安心寧靜的感覺。是來到了堂口嗎？
23,1,真不好玩，魚少，水缸也少，無障礙通道不順。推到只有樓梯，還要回頭走大馬路。動線規劃不佳，C棟沒電梯，沒廁所。門票300還要停車費，真的非常不值得。
24,1,所謂的古街居然是一個牌樓在入口處，街上的房子裝了一些假的柱子，超級爛。
25,1,有個叫阿曼達的女生，服務很差。送餐用摔的，心不甘情不願，好像欠他錢一樣。
26,1,非常差
27,1,餐點超級難吃，邊吃東西還邊趕蒼蠅，沒有間斷，還不便宜。說google評論就可以搭木馬，還特別問是不是一個人評論就可以全部人都可搭。到現場竟然說只能一個人坐，真的太莫名奇妙了。小朋友哪來電話評論，甚至得評論五星才可以坐。總之超級不推!!!
28,1,櫃檯小姐爛爆。不爽做不要做服務業。擺一張臭臉，回答的不耐煩。上網買寫著即買即用的票，也回答說我們說“我們沒簽即買即用的”。請問妳是老闆嗎？ 還沒進去就一肚子火
29,1,去年借發財金，都還沒賺到錢就要先還錢，還規定要還多少錢，真不知道是佛祖規定還是廟方人員規定，真扯！！！
30,1,餐點等了一個小時，有夠扯!這還是沒坐滿的情況下。要來用餐，請三思。
31,1,給一顆星是覺得這美景被三角錐圍住，一定要租巷口貴桑桑的電動自行車非常不合理。如果車設計的好也就算了，重點冬天一點也不防風。雙人有500跟800的價格，冬季不值得這個價。完全來錯季節，冬天來已經沒有綠油油。拍照要自行找好看的背景，還會被風吹得頭痛。
